seed,dim,transform,metric,ground_truth,r10,r100,rerank_r10
3,768,center+truncate,cosine,ip,0.734,0.997,0.997
3,768,center+truncate,cosine,cosine,0.735,0.987,nan
4,128,truncate,ip,ip,0.328,0.769,0.769
4,128,truncate,ip,cosine,0.27,0.665,nan
4,128,truncate,cosine,ip,0.636,0.987,0.987
4,128,truncate,cosine,cosine,0.67,0.993,nan
4,128,center+truncate,ip,ip,0.418,0.897,0.897
4,128,center+truncate,ip,cosine,0.374,0.859,nan
4,128,center+truncate,cosine,ip,0.609,0.971,0.971
4,128,center+truncate,cosine,cosine,0.605,0.961,nan
4,192,truncate,ip,ip,0.356,0.827,0.827
4,192,truncate,ip,cosine,0.277,0.71,nan
4,192,truncate,cosine,ip,0.705,0.997,0.997
4,192,truncate,cosine,cosine,0.747,0.999,nan
4,192,center+truncate,ip,ip,0.465,0.926,0.926
4,192,center+truncate,ip,cosine,0.407,0.88,nan
4,192,center+truncate,cosine,ip,0.681,0.982,0.982
4,192,center+truncate,cosine,cosine,0.669,0.969,nan
4,256,truncate,ip,ip,0.432,0.883,0.883
4,256,truncate,ip,cosine,0.341,0.777,nan
4,256,truncate,cosine,ip,0.736,0.998,0.998
4,256,truncate,cosine,cosine,0.794,1.0,nan
4,256,center+truncate,ip,ip,0.47,0.937,0.937
4,256,center+truncate,ip,cosine,0.423,0.89,nan
4,256,center+truncate,cosine,ip,0.686,0.987,0.987
4,256,center+truncate,cosine,cosine,0.682,0.97,nan
4,384,truncate,ip,ip,0.544,0.952,0.952
4,384,truncate,ip,cosine,0.427,0.858,nan
4,384,truncate,cosine,ip,0.775,1.0,1.0
4,384,truncate,cosine,cosine,0.838,1.0,nan
4,384,center+truncate,ip,ip,0.485,0.949,0.949
4,384,center+truncate,ip,cosine,0.435,0.91,nan
4,384,center+truncate,cosine,ip,0.722,0.993,0.993
4,384,center+truncate,cosine,cosine,0.719,0.977,nan
4,512,truncate,ip,ip,0.702,0.998,0.998
4,512,truncate,ip,cosine,0.738,1.0,nan
4,512,truncate,cosine,ip,0.743,0.999,0.999
4,512,truncate,cosine,cosine,0.882,1.0,nan
4,512,center+truncate,ip,ip,0.509,0.963,0.963
4,512,center+truncate,ip,cosine,0.452,0.92,nan
4,512,center+truncate,cosine,ip,0.742,0.996,0.996
4,512,center+truncate,cosine,cosine,0.733,0.977,nan
4,768,truncate,ip,ip,1.0,1.0,1.0
4,768,truncate,ip,cosine,0.77,0.987,nan
4,768,truncate,cosine,ip,0.77,0.999,0.999
4,768,truncate,cosine,cosine,1.0,1.0,nan
4,768,center+truncate,ip,ip,0.527,0.961,0.961
4,768,center+truncate,ip,cosine,0.471,0.918,nan
4,768,center+truncate,cosine,ip,0.768,0.993,0.993
4,768,center+truncate,cosine,cosine,0.762,0.98,nan
5,128,truncate,ip,ip,0.275,0.734,0.734
5,128,truncate,ip,cosine,0.216,0.636,nan
5,128,truncate,cosine,ip,0.59,0.975,0.975
5,128,truncate,cosine,cosine,0.617,0.984,nan
5,128,center+truncate,ip,ip,0.408,0.88,0.88
5,128,center+truncate,ip,cosine,0.348,0.832,nan
5,128,center+truncate,cosine,ip,0.581,0.955,0.955
5,128,center+truncate,cosine,cosine,0.554,0.936,nan
5,192,truncate,ip,ip,0.336,0.822,0.822
5,192,truncate,ip,cosine,0.25,0.694,nan
5,192,truncate,cosine,ip,0.652,0.995,0.995
5,192,truncate,cosine,cosine,0.684,0.995,nan
5,192,center+truncate,ip,ip,0.457,0.922,0.922
5,192,center+truncate,ip,cosine,0.392,0.863,nan
5,192,center+truncate,cosine,ip,0.63,0.971,0.971
5,192,center+truncate,cosine,cosine,0.608,0.954,nan
5,256,truncate,ip,ip,0.412,0.898,0.898
5,256,truncate,ip,cosine,0.313,0.771,nan
5,256,truncate,cosine,ip,0.695,0.998,0.998
5,256,truncate,cosine,cosine,0.734,0.999,nan
5,256,center+truncate,ip,ip,0.487,0.93,0.93
5,256,center+truncate,ip,cosine,0.419,0.876,nan
5,256,center+truncate,cosine,ip,0.656,0.987,0.987
5,256,center+truncate,cosine,cosine,0.627,0.965,nan
5,384,truncate,ip,ip,0.543,0.965,0.965
5,384,truncate,ip,cosine,0.401,0.856,nan
5,384,truncate,cosine,ip,0.754,1.0,1.0
5,384,truncate,cosine,cosine,0.795,1.0,nan
5,384,center+truncate,ip,ip,0.497,0.952,0.952
5,384,center+truncate,ip,cosine,0.435,0.893,nan
5,384,center+truncate,cosine,ip,0.689,0.995,0.995
5,384,center+truncate,cosine,cosine,0.669,0.968,nan
5,512,truncate,ip,ip,0.661,0.996,0.996
5,512,truncate,ip,cosine,0.733,1.0,nan
5,512,truncate,cosine,ip,0.696,0.998,0.998
5,512,truncate,cosine,cosine,0.859,1.0,nan
5,512,center+truncate,ip,ip,0.509,0.959,0.959
5,512,center+truncate,ip,cosine,0.448,0.901,nan
5,512,center+truncate,cosine,ip,0.708,0.996,0.996
5,512,center+truncate,cosine,cosine,0.696,0.969,nan
5,768,truncate,ip,ip,1.0,1.0,1.0
5,768,truncate,ip,cosine,0.735,0.989,nan
5,768,truncate,cosine,ip,0.735,1.0,1.0
5,768,truncate,cosine,cosine,1.0,1.0,nan
5,768,center+truncate,ip,ip,0.538,0.959,0.959
5,768,center+truncate,ip,cosine,0.466,0.905,nan
5,768,center+truncate,cosine,ip,0.726,0.997,0.997
5,768,center+truncate,cosine,cosine,0.721,0.974,nan
6,128,truncate,ip,ip,0.289,0.756,0.756
6,128,truncate,ip,cosine,0.226,0.645,nan
6,128,truncate,cosine,ip,0.573,0.989,0.989
6,128,truncate,cosine,cosine,0.62,0.989,nan
6,128,center+truncate,ip,ip,0.387,0.865,0.865
6,128,center+truncate,ip,cosine,0.357,0.819,nan
6,128,center+truncate,cosine,ip,0.552,0.966,0.966
6,128,center+truncate,cosine,cosine,0.552,0.935,nan
6,192,truncate,ip,ip,0.347,0.839,0.839
6,192,truncate,ip,cosine,0.256,0.708,nan
6,192,truncate,cosine,ip,0.647,0.996,0.996
6,192,truncate,cosine,cosine,0.689,0.997,nan
6,192,center+truncate,ip,ip,0.423,0.901,0.901
6,192,center+truncate,ip,cosine,0.39,0.847,nan
6,192,center+truncate,cosine,ip,0.604,0.979,0.979
6,192,center+truncate,cosine,cosine,0.602,0.95,nan
6,256,truncate,ip,ip,0.417,0.898,0.898
6,256,truncate,ip,cosine,0.31,0.778,nan
6,256,truncate,cosine,ip,0.699,0.998,0.998
